#	datafile Path	C:\data\asr\17060530.dat
#	datafile Name	17060530.dat
#	Download date	2017-06-05  
#	download Time	20:02:17
#	Software name	(@) ASRdown_tools.c
#	software Revision	76
#	software date	2004 January 12
#	ASR software version	R392d.MSA
#
#	? location where ASR was operated ? 
#	ceh rooftop June 5 2017 L8 & RE1
#	
#	? weather conditions ? 
#	very nice all day, some wv gradient to the W
#	
#	? ASR operator name ? 
#	daaron all times utc
#	
#	? observations and comments ? 
#	
#	
------------------------------------------------------

TEMP.          42.7	-273.2
CHANNEL         1   1579	ambient	    0
CHANNEL         2   3095	barometer	65535
CHANNEL         3   5787	humidity	65535
CHANNEL         4   9598
CHANNEL         5  14872
CHANNEL         6  22991
CHANNEL         7  34696
CHANNEL         8  36404
CHANNEL         9   2219
CHANNEL        10  24942
TIME         11  :  36  :   6	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.3	-273.2
CHANNEL         1   1690	ambient	    0
CHANNEL         2   3238	barometer	65535
CHANNEL         3   6030	humidity	65535
CHANNEL         4   9865
CHANNEL         5  15172
CHANNEL         6  23337
CHANNEL         7  34956
CHANNEL         8  36625
CHANNEL         9   2306
CHANNEL        10  25692
TIME         11  :  37  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          48.0	-273.2
CHANNEL         1   1820	ambient	    0
CHANNEL         2   3376	barometer	65535
CHANNEL         3   6246	humidity	65535
CHANNEL         4  10036
CHANNEL         5  15440
CHANNEL         6  23569
CHANNEL         7  35208
CHANNEL         8  36842
CHANNEL         9   2402
CHANNEL        10  25909
TIME         11  :  38  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   1960	ambient	    0
CHANNEL         2   3549	barometer	65535
CHANNEL         3   6555	humidity	65535
CHANNEL         4  10394
CHANNEL         5  15759
CHANNEL         6  23911
CHANNEL         7  35480
CHANNEL         8  37046
CHANNEL         9   2505
CHANNEL        10  26162
TIME         11  :  39  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   2094	ambient	    0
CHANNEL         2   3705	barometer	65535
CHANNEL         3   6810	humidity	65535
CHANNEL         4  10628
CHANNEL         5  16114
CHANNEL         6  24273
CHANNEL         7  35906
CHANNEL         8  37434
CHANNEL         9   2594
CHANNEL        10  26310
TIME         11  :  40  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   2229	ambient	    0
CHANNEL         2   3845	barometer	65535
CHANNEL         3   7049	humidity	65535
CHANNEL         4  10835
CHANNEL         5  16356
CHANNEL         6  24500
CHANNEL         7  36044
CHANNEL         8  37539
CHANNEL         9   2674
CHANNEL        10  26370
TIME         11  :  41  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   2367	ambient	    0
CHANNEL         2   4026	barometer	65535
CHANNEL         3   7326	humidity	65535
CHANNEL         4  11087
CHANNEL         5  16639
CHANNEL         6  24759
CHANNEL         7  36344
CHANNEL         8  37818
CHANNEL         9   2773
CHANNEL        10  26532
TIME         11  :  42  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   2514	ambient	    0
CHANNEL         2   4184	barometer	65535
CHANNEL         3   7591	humidity	65535
CHANNEL         4  11367
CHANNEL         5  16876
CHANNEL         6  25034
CHANNEL         7  36604
CHANNEL         8  37973
CHANNEL         9   2867
CHANNEL        10  26629
TIME         11  :  43  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   2654	ambient	    0
CHANNEL         2   4360	barometer	65535
CHANNEL         3   7873	humidity	65535
CHANNEL         4  11608
CHANNEL         5  17125
CHANNEL         6  25333
CHANNEL         7  36885
CHANNEL         8  38196
CHANNEL         9   2968
CHANNEL        10  26765
TIME         11  :  44  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   2823	ambient	    0
CHANNEL         2   4533	barometer	65535
CHANNEL         3   8118	humidity	65535
CHANNEL         4  11873
CHANNEL         5  17441
CHANNEL         6  25600
CHANNEL         7  37223
CHANNEL         8  38502
CHANNEL         9   3057
CHANNEL        10  26943
TIME         11  :  45  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   2988	ambient	    0
CHANNEL         2   4701	barometer	65535
CHANNEL         3   8373	humidity	65535
CHANNEL         4  12096
CHANNEL         5  17675
CHANNEL         6  25801
CHANNEL         7  37387
CHANNEL         8  38604
CHANNEL         9   3146
CHANNEL        10  27046
TIME         11  :  46  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   3136	ambient	    0
CHANNEL         2   4857	barometer	65535
CHANNEL         3   8592	humidity	65535
CHANNEL         4  12275
CHANNEL         5  17885
CHANNEL         6  26104
CHANNEL         7  37709
CHANNEL         8  38782
CHANNEL         9   3228
CHANNEL        10  27113
TIME         11  :  47  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   3305	ambient	    0
CHANNEL         2   5039	barometer	65535
CHANNEL         3   8918	humidity	65535
CHANNEL         4  12543
CHANNEL         5  18190
CHANNEL         6  26330
CHANNEL         7  37910
CHANNEL         8  39011
CHANNEL         9   3310
CHANNEL        10  27277
TIME         11  :  48  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   3500	ambient	    0
CHANNEL         2   5217	barometer	65535
CHANNEL         3   9167	humidity	65535
CHANNEL         4  12798
CHANNEL         5  18407
CHANNEL         6  26625
CHANNEL         7  38154
CHANNEL         8  39260
CHANNEL         9   3405
CHANNEL        10  27391
TIME         11  :  49  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   3673	ambient	    0
CHANNEL         2   5429	barometer	65535
CHANNEL         3   9443	humidity	65535
CHANNEL         4  13021
CHANNEL         5  18695
CHANNEL         6  26840
CHANNEL         7  38406
CHANNEL         8  39373
CHANNEL         9   3490
CHANNEL        10  27507
TIME         11  :  50  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   3842	ambient	    0
CHANNEL         2   5605	barometer	65535
CHANNEL         3   9720	humidity	65535
CHANNEL         4  13301
CHANNEL         5  18976
CHANNEL         6  27066
CHANNEL         7  38640
CHANNEL         8  39608
CHANNEL         9   3584
CHANNEL        10  27587
TIME         11  :  51  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   4031	ambient	    0
CHANNEL         2   5768	barometer	65535
CHANNEL         3   9918	humidity	65535
CHANNEL         4  13441
CHANNEL         5  19140
CHANNEL         6  27250
CHANNEL         7  38775
CHANNEL         8  39683
CHANNEL         9   3654
CHANNEL        10  27642
TIME         11  :  52  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   4196	ambient	    0
CHANNEL         2   5955	barometer	65535
CHANNEL         3  10205	humidity	65535
CHANNEL         4  13666
CHANNEL         5  19347
CHANNEL         6  27469
CHANNEL         7  39009
CHANNEL         8  39799
CHANNEL         9   3728
CHANNEL        10  27685
TIME         11  :  53  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   4393	ambient	    0
CHANNEL         2   6141	barometer	65535
CHANNEL         3  10464	humidity	65535
CHANNEL         4  13893
CHANNEL         5  19597
CHANNEL         6  27696
CHANNEL         7  39251
CHANNEL         8  40032
CHANNEL         9   3818
CHANNEL        10  27820
TIME         11  :  54  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   4581	ambient	    0
CHANNEL         2   6313	barometer	65535
CHANNEL         3  10716	humidity	65535
CHANNEL         4  14036
CHANNEL         5  19809
CHANNEL         6  27875
CHANNEL         7  39363
CHANNEL         8  40127
CHANNEL         9   3916
CHANNEL        10  27895
TIME         11  :  55  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   4792	ambient	    0
CHANNEL         2   6506	barometer	65535
CHANNEL         3  10994	humidity	65535
CHANNEL         4  14316
CHANNEL         5  20039
CHANNEL         6  28127
CHANNEL         7  39612
CHANNEL         8  40332
CHANNEL         9   4006
CHANNEL        10  27976
TIME         11  :  56  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   4950	ambient	    0
CHANNEL         2   6693	barometer	65535
CHANNEL         3  11245	humidity	65535
CHANNEL         4  14489
CHANNEL         5  20239
CHANNEL         6  28275
CHANNEL         7  39803
CHANNEL         8  40488
CHANNEL         9   4081
CHANNEL        10  28091
TIME         11  :  57  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   5200	ambient	    0
CHANNEL         2   6845	barometer	65535
CHANNEL         3  11470	humidity	65535
CHANNEL         4  14655
CHANNEL         5  20436
CHANNEL         6  28380
CHANNEL         7  39757
CHANNEL         8  40697
CHANNEL         9   4183
CHANNEL        10  28192
TIME         11  :  58  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   5397	ambient	    0
CHANNEL         2   7089	barometer	65535
CHANNEL         3  11777	humidity	65535
CHANNEL         4  14875
CHANNEL         5  20699
CHANNEL         6  28703
CHANNEL         7  40150
CHANNEL         8  40765
CHANNEL         9   4273
CHANNEL        10  28224
TIME         11  :  59  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   5565	ambient	    0
CHANNEL         2   7245	barometer	65535
CHANNEL         3  11991	humidity	65535
CHANNEL         4  15194
CHANNEL         5  20939
CHANNEL         6  28945
CHANNEL         7  40366
CHANNEL         8  40904
CHANNEL         9   4364
CHANNEL        10  28311
TIME         12  :   0  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
