#	datafile Path	C:\data\asr\table\17071530.asr																													
#	datafile Name	17071530.asr																													
#	Download date	7/15/2017																													
#	download Time	23:10:07																													
#	Software name	(@) ASRdown_tools.c																													
#	software Revision	76																													
#	software date	2004 January 12																													
#	ASR software version	R392d.MSA																													
#																															
#	? location where ASR was operated ? 																														
#	"ceh rooftop July 15, 2017 L7"																														
#																															
#	? weather conditions ? 																														
#	hot and hazy but no 'solid' clouds																														
#																															
#	? ASR operator name ? 																														
#	Cibele  all times utc																														
#																															
#	? observations and comments ? 																														
#																															
#	converted to cdt     dba																														
# year	month	day	hour	minute	second	sats	lat	long	down	temper	380nm	400nm	440nm	520nm	610nm	670nm	780nm	870nm	940nm	1030nm	Qdown	Qleft	Qright	Qup	AZrcnt	ZENrcnt	AZcumu	ZENcumu	Ambient	Baro	Humid
2017	7	15	7	12	5	0	0	0	0	46739	2407	3542	6037	8693	13459	19281	28180	29923	1172	21555	7009	6775	6685	7145	-79	-33	79	1313	0	65535	65535
2017	7	15	7	13	5	0	0	0	0	46738	3020	4415	7474	10689	16531	23666	34571	36802	1487	26655	8794	8200	8239	8577	64	17	143	2622	0	65535	65535
2017	7	15	7	14	4	0	0	0	0	46737	3124	4509	7604	10783	16598	23600	34395	36527	1511	26400	8681	8120	8259	8687	31	31	176	3933	0	65535	65535
2017	7	15	7	15	4	0	0	0	0	46737	3281	4683	7869	11038	16911	23978	34821	36927	1576	26611	8948	8392	8304	8767	29	17	205	5230	0	65535	65535
2017	7	15	7	16	5	0	0	0	0	46737	3221	4568	7640	10679	16370	23159	33687	35727	1553	25767	8620	8087	8100	8589	32	25	237	6535	0	65535	65535
2017	7	15	7	17	4	0	0	0	0	46736	2590	3606	6021	8311	12620	17710	25621	27019	1179	19314	6564	6287	6213	6659	27	32	264	7847	0	65535	65535
2017	7	15	7	18	4	0	0	0	0	46736	1640	2238	3742	5116	7724	10778	15513	16266	708	11531	4065	4038	3876	4111	26	35	290	9162	0	65535	65535
2017	7	15	7	19	5	0	0	0	0	46736	2416	3281	5433	7382	11100	15501	22233	23403	1058	16694	5837	5691	5511	5784	30	34	320	10476	0	65535	65535
2017	7	15	7	20	4	0	0	0	0	46736	3207	4322	7130	9580	14349	19966	28549	29994	1377	21430	7376	7081	7034	7415	33	30	353	11786	0	65535	65535
2017	7	15	7	21	5	0	0	0	0	46736	2547	3415	5611	7569	11407	15891	22851	24082	1112	17303	5990	5738	5764	6037	28	34	381	13100	0	65535	65535
2017	7	15	7	22	5	0	0	0	0	46736	3274	4369	7148	9579	14419	20085	28840	30415	1421	21881	7519	7190	7098	7495	-7	35	456	14415	0	65535	65535
2017	7	15	7	23	5	0	0	0	0	46736	3860	5086	8298	10959	16338	22616	32207	33833	1598	24192	8455	8315	7644	8277	59	32	517	15727	0	65535	65535
2017	7	15	7	24	5	0	0	0	0	46736	4455	5810	9434	12397	18460	25536	36356	38207	1857	27367	9392	8864	8978	9398	41	36	558	17043	0	65535	65535
2017	7	15	7	25	4	0	0	0	0	46736	4519	5861	9476	12382	18392	25383	36158	37986	1897	27300	9346	8859	8878	9318	30	34	588	18357	0	65535	65535
2017	7	15	7	26	5	0	0	0	0	46736	4717	6032	9714	12527	18439	25281	35830	37495	1913	26799	9175	8771	8764	9333	30	36	618	19673	0	65535	65535
2017	7	15	7	27	5	0	0	0	0	46735	4675	5922	9509	12178	17855	24443	34494	36019	1894	25719	8951	8367	8498	8839	9	30	675	21001	0	65535	65535
